country;region;code;population
Afghanistan;AS;AFG;34656032 
Albania;EU;ALB;2876101 
Algeria;AF;DZA;40606052 
Andorra;EU;AND;77281 
Antigua and Barbuda;SA;ATG;100963 
Argentina;SA;ARG;43847430 
Armenia;AS;ARM;2924816 
Aruba;SA;ABW;104822 
Australia;AU;AUS;24127159 
Austria;EU;AUT;8747358 
Azerbaijan;AS;AZE;9762274 
Bahrain;AS;BHR;1425171 
Bangladesh;AS;BGD;162951560 
Belarus;EU;BLR;9507120 
Belgium;EU;BEL;11348159 
Bhutan;AS;BTN;797765 
Bolivia;SA;BOL;10887882 
Bosnia and Herzegovina;EU;BIH;3516816 
Brazil;SA;BRA;207652865 
Brunei;AS;BRN;423196 
Bulgaria;EU;BGR;7127822 
Burkina Faso;AF;BFA;18646433 
Cambodia;AS;KHM;15762370 
Cameroon;AF;CMR;23439189 
Canada;NA;CAN;36286425
Cayman Islands;NA;CYM;60765
Central African Republic;AF;CAF;4594621
Chile;SA;CHL;17909754
China;AS;CHN;1378665000
Colombia;SA;COL;48653419
Congo (Brazzaville);AF;COG;5125821
Congo (Kinshasa);AF;COD;78736153
Costa Rica;SA;CRI;4857274
Cote d'Ivoire;AF;CIV;23695919
Croatia;EU;HRV;4170600
Cuba;SA;CUB;11475982
Curacao;SA;CUW;159999
Cyprus;EU;CYP;1170125
Czechia;EU;CZE;10561633
Denmark;EU;DNK;5731118
Dominican Republic;SA;DOM;10648791
Ecuador;SA;ECU;16385068
Egypt;AF;EGY;95688681
Equatorial Guinea;AF;GNQ;1221490
Estonia;EU;EST;1316481
Eswatini;AF;SWZ;1343098
Ethiopia;AF;ETH;102403196
Finland;EU;FIN;5495096
France;EU;FRA;66896109
Gabon;AF;GAB;1979786
Georgia;AS;GEO;3719300
Germany;EU;DEU;82667685
Ghana;AF;GHA;28206728
Greece;EU;GRC;10746740
Guatemala;NA;GTM;16582469
Guinea;AF;GIN;12395924
Guyana;SA;GUY;773303
Honduras;NA;HND;9112867
Hungary;EU;HUN;9817958
Iceland;EU;ISL;334252
India;AS;IND;1324171354
Indonesia;AS;IDN;261115456
Iran;AS;IRN;80277428
Iraq;AS;IRQ;37202572
Ireland;EU;IRL;4773095
Israel;AS;ISR;8547100
Italy;EU;ITA;60600590
Jamaica;SA;JAM;2881355
Japan;AS;JPN;126994511
Jordan;AS;JOR;9455802
Kazakhstan;AS;KAZ;17797032
Kenya;AF;KEN;48461567
Kosovo;EU;XKX;1816200
South Korea;AS;KOR;51245707
Kuwait;AS;KWT;4052584
Latvia;EU;LVA;1960424
Lebanon;AS;LBN;6006668
Liechtenstein;EU;LIE;37666
Lithuania;EU;LTU;2872298
Luxembourg;EU;LUX;582972
Malaysia;AS;MYS;31187265
Maldives;AS;MDV;417492
Malta;EU;MLT;436947
Mauritania;AF;MRT;4301018
Mexico;NA;MEX;127540423
Moldova;EU;MDA;3552000
Monaco;EU;MCO;38499
Mongolia;AS;MNG;3027398
Morocco;AF;MAR;35276786
Namibia;AF;NAM;2479713
Nepal;AS;NPL;28982771
Netherlands;EU;NLD;17018408
New Zealand;AU;NZL;4692700
Nigeria;AF;NGA;185989640
North Macedonia;EU;MKD;2081206
Norway;EU;NOR;5232929
Oman;AS;OMN;4424762
Pakistan;AS;PAK;193203476
Panama;SA;PAN;4034119
Paraguay;SA;PRY;6725308
Peru;SA;PER;31773839
Philippines;AS;PHL;103320222
Poland;EU;POL;37948016
Portugal;EU;PRT;10324611
Qatar;AS;QAT;2569804
Romania;EU;ROU;19705301
Russia;EU;RUS;144342396
Rwanda;AF;RWA;11917508
San Marino;EU;SMR;33203
Saudi Arabia;AS;SAU;32275687
Senegal;AF;SEN;15411614
Serbia;EU;SRB;7057412
Seychelles;AF;SYC;94677
Singapore;AS;SGP;5607283
Slovakia;EU;SVK;5428704
Slovenia;EU;SVN;2064845
South Africa;AF;ZAF;55908865
Spain;EU;ESP;46443959
Sri Lanka;AS;LKA;21203000
Sudan;AF;SDN;39578828
Suriname;SA;SUR;558368
Sweden;EU;SWE;9903122
Switzerland;EU;CHE;8372098
Syria;AS;SYR;18430453
Taiwan*;AS;;
Thailand;AS;THA;68863514
Togo;AF;TGO;7606374
Trinidad and Tobago;SA;TTO;1364962
Tunisia;AF;TUN;11403248
Turkey;AS;TUR;79512426
US;NA;USA;323127513
Ukraine;EU;UKR;45004645
United Arab Emirates;AS;ARE;9269612
United Kingdom;EU;GBR;65637239
Uruguay;SA;URY;3444006
Uzbekistan;AS;UZB;31848200
Venezuela;SA;VEN;31568179
Vietnam;AS;VNM;92701100
occupied Palestinian territory;AS;;
Montenegro;EU;MNE;622781
Djibouti;AF;DJI;942333
Liberia;AF;LBR;4613823
Benin;AF;BEN;10872298
Tanzania;AF;TZA;55572201
Kyrgyzstan;AS;KGZ;6082700
Mauritius;AF;MUS;1263473
Somalia;AF;SOM;14317996
Zambia;AF;ZMB;16591390
El Salvador;SA;SLV;6344722
Chad;AF;TCD;14452543
Fiji;OC;FJI;898760
Nicaragua;SA;NIC;6149928
Angola;AF;AGO;28813463
Burundi;AF;BDI;10524117
Haiti;SA;HTI;10847334
Libya;AF;LBY;6293253
Lesotho;AF;LSO;2203821
Madagascar;AF;MDG;24894551
Mali;AF;MLI;17994837
Myanmar;AS;MMR;52885223
Mozambique;AF;MOZ;28829476
Malawi;AF;MWI;18091575
Niger;AF;NER;20672987
Papua New Guinea;AS;PNG;8084991
Sierra Leone;AF;SLE;7396190
Tajikistan;AS;TJK;8734951
Turkmenistan;AS;TKM;5662544
Uganda;AF;UGA;41487965
Zimbabwe;AF;ZWE;16150362
Gambia;AF;GMB;2038501
Cabo Verde;AF;CPV;539560
Belize;NA;BLZ;366954
